card,nationality,team,division,salary,position,hand,weight_lb,height_in,name,overall,aOVR,acceleration,agility,balance,endurance,speed,slap_shot_accuracy,slap_shot_power,wrist_shot_accuracy,wrist_shot_power,deking,offensive_awareness,hand_eye,passing,puck_control,body_checking,strength,aggression,durability,fighting_skill,defensive_awareness,shot_blocking,stick_checking,faceoffs,discipline,card_api_id
BA,Czechia,CGY,Pacific,$0.5M,RW,RIGHT,235.0,80,ADAM KLAPKA,75,75.15,78,76,84,76,78,68,83,68,82,71,68,70,71,71,80,84,82,81,72,67,69,77,61,76,1103
BEM,Czechia,CGY,Pacific,$4.0M,RW,RIGHT,235.0,80,ADAM KLAPKA,83,83.65,82,85,93,85,82,77,92,77,91,80,77,79,80,80,89,93,91,90,81,76,78,86,70,85,4530
BA,Sweden,SEA,Pacific,$0.7M,RD,RIGHT,207.0,75,ADAM LARSSON,77,77.05,81,76,80,76,81,70,79,72,79,72,75,70,76,75,80,80,77,77,62,80,82,80,47,67,1528
FANT,Sweden,SEA,Pacific,$6.0M,RD,RIGHT,207.0,75,ADAM LARSSON,85,84.65,85,84,88,84,85,78,87,80,87,80,83,78,84,83,88,88,85,85,70,88,90,88,55,75,2661
BA,Canada,WPG,Central,$0.9M,C,LEFT,210.0,77,ADAM LOWRY,79,78.90,81,77,81,79,81,75,79,76,79,77,77,80,77,77,81,81,81,78,75,80,77,82,85,67,1695
FACE,Canada,WPG,Central,$5.0M,C,LEFT,210.0,77,ADAM LOWRY,84,84.60,84,83,87,85,84,81,85,82,85,83,83,86,83,83,87,87,87,84,81,86,83,88,91,73,3734
COM,Canada,WPG,Central,$8.0M,C,LEFT,210.0,77,ADAM LOWRY,87,87.40,85,86,90,88,85,84,88,85,88,86,86,89,86,86,90,90,90,87,84,89,86,91,94,76,4513
NG,Czechia,PBO,,$5.0M,C,LEFT,204.0,73,ADAM NOVOTNÝ,84,84.90,87,87,80,87,87,85,86,86,86,86,85,85,85,85,85,84,83,85,76,83,83,83,87,91,4248
ALUM,Canada,WSH,,$3.0M,C,RIGHT,190.0,71,ADAM OATES,82,82.65,84,80,84,82,83,84,84,84,86,80,88,86,90,88,75,81,81,75,62,79,75,79,89,72,2274
HUTC,Canada,WSH,,$6.0M,C,RIGHT,190.0,71,ADAM OATES,85,85.45,85,83,87,85,84,87,87,87,89,83,91,89,93,91,78,84,84,78,65,82,78,82,92,75,2642
BA,Sweden,FBK,,$0.7M,LD,LEFT,216.0,76,ADAM OLLAS MATTSSON,77,77.00,83,79,84,75,83,69,84,70,83,69,71,69,73,72,81,83,79,84,69,75,81,77,68,76,3401
BA,Canada,NYI,Metropolitan,$0.9M,LD,LEFT,210.0,75,ADAM PELECH,79,79.05,82,79,83,79,83,71,82,72,81,71,72,74,75,75,82,83,82,79,70,86,82,87,49,74,1395
FACE,Canada,NYI,Metropolitan,$3.0M,LD,LEFT,212.0,75,ADAM PELECH,82,81.85,83,82,86,82,84,74,85,75,84,74,75,77,78,78,85,86,85,82,73,89,85,90,52,77,3904
COM,Canada,NYI,Metropolitan,$7.0M,LD,LEFT,212.0,75,ADAM PELECH,86,86.20,86,86,90,86,86,84,88,85,87,78,79,81,82,82,89,90,89,86,77,93,89,94,56,81,4452
BA,Slovakia,HFD,,$0.7M,RW,LEFT,192.0,71,ADAM SYKORA,77,77.60,88,84,74,75,86,74,82,75,82,81,74,75,73,74,74,72,79,84,67,76,77,77,64,89,2899
BA,Sweden,NSH,Central,$0.5M,LD,LEFT,188.0,73,ADAM WILSBY,75,75.40,82,80,80,71,82,65,81,66,82,78,68,69,71,68,77,80,79,72,57,73,78,78,48,75,1364
ALUM,Canada,VAN,,$0.7M,RD,RIGHT,215.0,74,ADRIAN AUCOIN,77,76.95,76,73,78,76,76,75,85,75,82,68,80,72,77,77,75,81,76,68,67,78,82,77,48,75,2234
BA,Sweden,LAK,Pacific,$4.0M,RW,LEFT,200.0,74,ADRIAN KEMPE,83,83.00,88,85,83,81,89,85,83,87,83,83,84,83,83,83,81,83,81,85,67,77,76,82,71,76,1272
TRAN,Sweden,LAK,Pacific,$8.0M,RW,LEFT,200.0,74,ADRIAN KEMPE,87,87.70,90,90,88,86,91,90,88,92,88,88,89,88,88,88,86,88,86,90,72,82,81,87,76,81,4278
COM,Sweden,LAK,Pacific,$9.0M,RW,LEFT,200.0,74,ADRIAN KEMPE,88,88.70,91,91,89,87,92,91,89,93,89,89,90,89,89,89,87,89,87,91,73,83,82,88,77,82,4499
BA,USA,WBS,,$0.5M,LW,LEFT,190.0,75,AIDAN MCDONOUGH,75,75.45,82,77,81,72,82,74,82,78,82,76,74,74,74,74,71,80,71,81,66,66,66,73,61,76,3261
BA,Canada,LAK,Pacific,$0.5M,C,RIGHT,195.0,72,AKIL THOMAS,75,76.15,84,80,77,76,84,74,80,74,80,79,74,74,76,74,74,77,76,79,59,69,66,75,76,79,1292
BEM,Canada,LAK,Pacific,$2.0M,C,RIGHT,195.0,72,AKIL THOMAS,81,81.85,87,86,83,82,87,80,86,80,86,85,80,80,82,80,80,83,82,85,65,75,72,81,82,85,4089
BA,Canada,ABB,,$0.6M,LD,LEFT,170.0,72,AKITO HIROSE,76,76.75,86,82,81,75,84,67,83,68,82,80,66,73,72,71,77,80,79,84,63,72,79,78,54,79,2704
ALUM,USA,TOR,,$0.9M,LD,LEFT,240.0,75,AL IAFRATE,79,79.60,79,77,81,83,79,78,89,78,87,73,79,76,80,76,82,82,78,70,70,77,81,77,57,71,2202
ALUM,Canada,STL,,$4.0M,RD,RIGHT,204.0,73,AL MACINNIS,83,83.70,83,81,86,81,84,87,93,80,89,76,88,78,85,85,81,81,84,83,67,89,80,83,51,79,2175
ICON,Canada,CGY,,$8.0M,RD,RIGHT,204.0,73,AL MACINNIS,87,87.70,86,85,90,86,87,91,97,84,93,80,92,82,90,89,85,85,88,87,67,93,84,87,55,83,3756
ALUM,Canada,MIN,,$2.0M,RW,LEFT,174.0,72,ALAN MACADAM,81,80.80,84,80,84,80,84,80,84,80,84,77,83,78,80,80,78,82,76,71,71,83,81,78,74,56,1987
BA,Sweden,DET,Atlantic,$0.5M,LD,LEFT,168.0,72,ALBERT JOHANSSON,75,75.05,82,79,77,71,80,68,77,69,79,75,69,69,72,71,76,77,76,79,57,76,79,79,54,77,1222
MARQ,Sweden,DET,Atlantic,$3.0M,LD,LEFT,168.0,72,ALBERT JOHANSSON,82,81.65,85,86,84,78,83,75,84,76,86,82,76,76,79,78,83,84,83,86,64,83,86,86,61,84,2683
BA,Sweden,FBK,,$0.5M,LD,LEFT,194.0,73,ALBERT WIKMAN,75,75.30,85,87,71,73,86,66,87,67,87,78,72,67,72,72,71,71,72,89,69,74,74,74,54,79,3407
BA,Sweden,DIF,,$0.7M,C,LEFT,187.0,72,ALBIN GREWE,77,77.45,90,86,73,76,90,73,85,75,85,79,78,75,74,74,73,73,72,88,72,73,73,72,80,85,3350
BA,Sweden,TIM,,$0.6M,RD,RIGHT,198.0,74,ALBIN SUNDIN,76,75.10,89,84,71,74,88,63,85,65,85,71,72,64,73,71,71,80,71,88,66,77,73,75,58,86,3618
BA,Sweden,RBK,,$0.8M,C,LEFT,203.0,74,ALBIN SUNDSVIK,78,77.30,87,82,79,76,87,72,85,74,84,75,77,75,75,75,72,85,72,87,67,73,67,74,79,85,3564
BA,USA,EDM,Pacific,$0.5M,RD,RIGHT,211.0,76,ALEC REGULA,75,74.75,78,75,79,71,78,68,80,69,79,73,67,67,72,72,79,80,79,78,67,73,78,78,48,68,1246
BA,Finland,FLA,Atlantic,$6.0M,C,LEFT,214.0,75,ALEKSANDER BARKOV,85,85.10,84,81,86,86,84,85,84,86,84,84,90,87,87,87,81,86,79,81,67,88,83,90,88,79,1269
BEM,Finland,FLA,Atlantic,$2.0M,C,LEFT,214.0,75,ALEKSANDER BARKOV,81,81.30,82,77,82,82,82,81,80,82,80,80,86,83,83,83,77,82,75,77,63,84,79,86,84,75,4026
BEM,Finland,FLA,Atlantic,$3.0M,C,LEFT,214.0,75,ALEKSANDER BARKOV,82,82.20,82,78,83,83,82,82,81,83,81,81,87,84,84,84,78,83,76,78,64,85,80,87,85,76,4027
BEM,Finland,FLA,Atlantic,$4.0M,C,LEFT,214.0,75,ALEKSANDER BARKOV,83,83.20,83,79,84,84,83,83,82,84,82,82,88,85,85,85,79,84,77,79,65,86,81,88,86,77,4028
BEM,Finland,FLA,Atlantic,$5.0M,C,LEFT,214.0,75,ALEKSANDER BARKOV,84,84.10,83,80,85,85,83,84,83,85,83,83,89,86,86,86,80,85,78,80,66,87,82,89,87,78,4029
BEM,Finland,FLA,Atlantic,$6.0M,C,LEFT,214.0,75,ALEKSANDER BARKOV,85,85.10,84,81,86,86,84,85,84,86,84,84,90,87,87,87,81,86,79,81,67,88,83,90,88,79,4030
BEM,Finland,FLA,Atlantic,$7.0M,C,LEFT,214.0,75,ALEKSANDER BARKOV,86,86.55,86,82,87,89,86,87,85,88,85,85,91,88,88,88,85,87,80,82,68,89,84,91,89,80,4031
BA,Finland,SPR,,$0.7M,C,LEFT,181.0,71,ALEKSANTERI KASKIMAKI,77,77.10,89,85,74,80,87,74,82,75,82,84,74,75,75,74,71,72,71,84,62,74,67,77,71,84,3142
BA,Finland,HV7,,$0.7M,RW,LEFT,148.0,70,ALEKSI HEPONIEMI,77,77.00,85,81,72,78,87,76,82,78,82,79,76,78,79,77,72,77,73,78,62,73,62,73,70,76,3438
HH,Czechia,EDM,,$5.0M,RW,RIGHT,177.0,72,ALES HEMSKY,84,83.70,84,86,84,81,86,82,85,86,88,87,89,85,88,86,79,83,76,82,62,84,75,80,59,84,1074
ALUM,Czechia,EDM,,$2.0M,RW,RIGHT,177.0,72,ALES HEMSKY,81,81.00,83,83,81,80,85,79,82,83,85,84,86,82,85,83,76,80,73,79,62,81,72,77,56,81,1908
BA,Canada,COL,,$0.7M,C,LEFT,178.0,70,ALEX BARRE-BOULET,77,77.80,86,81,76,74,86,77,81,78,80,81,79,75,78,78,75,76,75,80,60,73,70,77,76,80,2857
BA,Canada,LAV,,$0.7M,RW,RIGHT,195.0,72,ALEX BELZILE,77,77.25,83,79,81,75,83,72,81,73,81,79,72,76,74,75,78,80,81,81,61,72,74,76,63,71,3262
BA,USA,SEA,,$2.0M,C,LEFT,154.0,67,ALEX CARPENTER,81,81.25,86,82,83,80,87,80,73,82,72,86,81,84,82,84,83,81,80,82,42,82,76,81,89,85,2387
BA,USA,DET,Atlantic,$3.0M,RW,RIGHT,180.0,68,ALEX DEBRINCAT,82,82.65,86,86,78,80,86,85,84,86,85,89,86,86,85,86,71,81,76,86,59,78,75,84,61,91,1206
MARQ,USA,DET,Atlantic,$6.0M,RW,RIGHT,180.0,68,ALEX DEBRINCAT,85,85.45,87,89,81,83,87,88,87,89,88,92,89,89,88,89,74,84,79,89,62,81,78,87,64,94,3700
ALUM,Canada,DET,,$4.0M,C,LEFT,195.0,72,ALEX DELVECCHIO,83,83.30,84,85,82,81,85,82,84,82,84,81,90,82,86,86,83,84,78,88,70,84,81,82,89,78,1873
BA,Canada,CGY,,$0.6M,C,LEFT,180.0,71,ALEX GALLANT,76,77.20,85,80,85,77,85,65,87,67,86,70,62,71,70,70,85,85,90,85,87,65,77,82,82,60,2778
NG,Canada,CHI,,$3.0M,RD,RIGHT,162.0,72,ALEX HUANG,82,82.50,83,84,81,84,83,83,84,84,85,85,84,79,88,83,80,77,83,90,72,78,79,83,57,84,4215
BA,USA,WPG,Central,$0.8M,LW,LEFT,201.0,72,ALEX IAFALLO,78,78.75,83,80,78,81,83,78,80,78,80,79,78,78,78,78,78,78,77,78,62,78,73,79,63,83,1698
MARQ,USA,WPG,Central,$1.0M,LW,LEFT,201.0,72,ALEX IAFALLO,80,80.65,84,82,80,83,84,80,82,80,82,81,80,80,80,80,80,80,79,80,64,80,75,81,65,85,2689
COM,USA,WPG,Central,$5.0M,LW,LEFT,201.0,72,ALEX IAFALLO,84,84.45,86,86,84,87,86,84,86,84,86,85,84,84,84,84,84,84,83,84,68,84,79,85,69,89,4519
BA,USA,BRI,,$0.6M,LW,RIGHT,194.0,72,ALEX JEFFERIES,76,77.10,79,77,76,79,90,73,76,77,78,80,78,79,83,76,68,77,80,76,53,72,71,73,53,79,2758
BA,Canada,GR,,$0.6M,RD,RIGHT,200.0,72,ALEX KANNOK-LEIPERT,76,76.30,84,80,85,78,84,62,85,64,85,72,64,67,67,67,82,85,82,80,78,72,80,81,50,82,2879
BA,Canada,ANA,Pacific,$0.7M,LW,LEFT,192.0,73,ALEX KILLORN,77,77.65,80,76,79,81,80,76,80,77,80,76,77,76,77,77,78,79,78,82,67,76,72,78,62,72,1005
FANT,Canada,ANA,Pacific,$0.7M,LW,LEFT,205.0,73,ALEX KILLORN,77,77.65,80,76,79,81,80,76,80,77,80,76,77,76,77,77,78,79,78,82,67,76,72,78,62,72,2676
BEM,Canada,ANA,Pacific,$2.0M,LW,LEFT,205.0,73,ALEX KILLORN,81,81.45,82,80,83,85,82,80,84,81,84,80,81,80,81,81,82,83,82,86,71,80,76,82,66,76,3952
COM,Canada,ANA,Pacific,$4.0M,LW,LEFT,205.0,73,ALEX KILLORN,83,83.50,83,82,85,86,83,83,85,85,85,82,83,82,84,83,84,85,84,88,73,82,80,84,68,78,4317
BA,USA,LAK,Pacific,$0.7M,RW,RIGHT,205.0,73,ALEX LAFERRIERE,77,77.95,81,77,76,81,81,76,77,78,78,80,80,79,80,80,77,77,77,77,76,77,69,78,60,77,1286
FACE,USA,LAK,Pacific,$4.0M,RW,RIGHT,205.0,73,ALEX LAFERRIERE,83,83.65,84,83,82,87,84,82,83,84,84,86,86,85,86,86,83,83,83,83,82,83,75,84,66,83,3675
SOTM,Canada,MON,,$8.0M,RW,RIGHT,183.0,70,ALEX MERCIER,87,87.80,90,92,91,86,89,87,89,89,89,90,89,86,86,87,87,90,93,95,76,84,83,79,72,83,4569
BA,Canada,MTL,Atlantic,$0.7M,C,LEFT,200.0,71,ALEX NEWHOOK,77,77.75,84,81,78,75,86,79,80,79,80,80,74,78,78,78,73,78,73,77,57,73,73,75,75,78,1336
CMG,Canada,MTL,Atlantic,$3.0M,C,LEFT,200.0,71,ALEX NEWHOOK,82,82.45,86,86,83,80,88,84,85,84,85,85,79,83,83,83,78,83,78,82,62,78,78,80,80,83,2567
NG,Canada,MTL,Atlantic,$7.0M,C,LEFT,200.0,71,ALEX NEWHOOK,86,86.25,88,90,87,84,90,88,89,88,89,89,83,87,87,87,82,87,82,86,66,82,82,84,84,87,4153
BA,Russia,WSH,Metropolitan,$5.0M,LW,RIGHT,238.0,75,ALEX OVECHKIN,84,84.75,82,80,88,83,82,89,90,87,88,81,90,86,83,84,85,89,85,88,72,80,78,85,60,75,1670
CAP,Russia,WSH,Metropolitan,$6.0M,LW,RIGHT,238.0,75,ALEX OVECHKIN,85,85.55,83,81,89,80,83,90,91,88,89,82,91,87,84,85,86,90,86,89,72,81,79,86,61,76,2437
MILE,Russia,WSH,Metropolitan,$8.0M,LW,RIGHT,238.0,75,ALEX OVECHKIN,87,88.15,86,83,91,86,86,92,95,90,95,84,93,89,86,87,88,92,88,91,75,83,81,88,63,78,4106
BA,Canada,TEX,,$0.7M,RD,RIGHT,208.0,77,ALEX PETROVIC,77,77.65,83,79,84,76,83,70,85,70,83,71,66,71,72,73,84,84,86,83,79,72,81,80,56,61,3183
GM,Canada,DAL,Central,$6.0M,RD,RIGHT,215.0,77,ALEX PETROVIC,85,85.25,87,87,92,84,87,78,93,78,91,79,74,79,80,81,92,92,94,91,87,80,89,88,64,69,4608
BA,Canada,VGK,Pacific,$0.9M,RD,RIGHT,215.0,75,ALEX PIETRANGELO,79,79.45,82,78,80,83,82,74,83,75,83,75,79,72,80,79,79,82,77,77,67,82,82,82,47,75,1660
BA,USA,PRO,,$0.7M,C,LEFT,202.0,72,ALEX STEEVES,77,77.40,83,79,80,76,83,73,81,73,81,80,74,76,76,75,77,80,79,80,70,73,73,76,76,75,3058
ALUM,Canada,COL,,$3.0M,LW,LEFT,194.0,73,ALEX TANGUAY,82,82.10,83,82,81,82,85,81,82,83,84,83,85,86,86,86,78,80,78,80,62,81,78,78,71,82,1829
BA,USA,BUF,Atlantic,$3.0M,RW,RIGHT,219.0,76,ALEX TUCH,82,82.25,83,80,84,82,84,82,83,83,83,81,83,83,82,83,81,84,81,79,62,81,77,85,64,79,1048
MARQ,USA,VGK,Pacific,$7.0M,RW,RIGHT,219.0,76,ALEX TUCH,86,86.05,85,84,88,86,86,86,87,87,87,85,87,87,86,87,85,88,85,83,66,85,81,89,68,83,3869
CCAP,USA,BUF,Atlantic,$9.0M,RW,RIGHT,219.0,76,ALEX TUCH,88,87.95,86,86,90,88,87,88,89,89,89,87,89,89,88,89,87,90,87,85,68,87,83,91,70,85,4359
BA,USA,LAK,Pacific,$0.8M,C,LEFT,185.0,71,ALEX TURCOTTE,78,78.45,84,82,79,79,83,74,81,76,81,79,78,77,76,78,79,78,79,74,52,77,71,78,78,76,1283
MARQ,USA,LAK,Pacific,$2.0M,C,LEFT,185.0,71,ALEX TURCOTTE,81,81.25,85,85,82,82,84,77,84,79,84,82,81,80,79,81,82,81,82,77,55,80,74,81,81,79,3697
BA,USA,CHI,Central,$1.0M,LD,LEFT,217.0,78,ALEX VLASIC,80,79.90,82,80,83,79,82,72,83,73,83,75,76,75,77,77,81,82,81,81,67,84,85,88,51,76,1128
CMG,USA,CHI,Central,$4.0M,LD,LEFT,217.0,78,ALEX VLASIC,83,82.70,83,83,86,82,83,75,86,76,86,78,79,78,80,80,84,85,84,84,70,87,88,91,54,79,2509
COM,USA,CHI,Central,$7.0M,LD,LEFT,217.0,78,ALEX VLASIC,86,85.60,85,86,89,85,85,78,89,79,89,81,82,81,83,83,87,88,87,87,73,90,91,94,57,82,4505
BA,Russia,WBS,,$0.8M,LD,LEFT,229.0,76,ALEXANDER ALEXEYEV,78,77.85,83,78,82,76,83,70,84,72,83,73,69,71,75,75,81,82,79,80,70,77,83,81,55,75,3247
BA,Sweden,SA,,$0.8M,RW,RIGHT,198.0,72,ALEXANDER HOLTZ,78,78.80,87,83,80,81,87,79,83,80,83,81,78,79,78,79,75,80,75,80,60,69,66,73,60,85,2909
TRAN,Sweden,VGK,Pacific,$2.0M,RW,RIGHT,198.0,72,ALEXANDER HOLTZ,81,81.95,90,86,83,84,90,82,86,83,86,87,81,82,81,82,78,83,78,83,63,72,69,76,63,88,3741
BA,Canada,UTA,Central,$0.7M,C,LEFT,185.0,71,ALEXANDER KERFOOT,77,77.90,84,80,74,81,84,77,79,77,79,79,77,77,79,77,74,76,74,77,57,78,74,78,74,77,1608
BA,Sweden,LIF,,$0.5M,LD,LEFT,183.0,74,ALEXANDER LUNDQVIST,75,75.85,87,83,75,79,87,66,89,67,87,67,70,66,70,73,74,74,74,90,73,77,75,77,68,85,3464
MARQ,Russia,CAR,Metropolitan,$4.0M,LD,LEFT,218.0,75,ALEXANDER NIKISHIN,83,83.00,84,83,89,82,83,78,89,79,86,77,80,78,78,78,86,89,86,86,79,86,84,85,56,81,3820
