"event","overall","nationalitys","leagues","teams","POS","Skater ID"
"BA",75,"USA","NHL","CHI","DEF",2307
"BA",76,"USA","NHL","COL","DEF",1971
"BA",84,"USA","NHL","CBJ","DEF",2333
"BA",75,"USA","NHL","DET","DEF",1178
"BA",75,"USA","NHL","EDM","DEF",2205
"BA",75,"USA","NHL","EDM","DEF",47
"BA",82,"USA","NHL","FLA","DEF",2036
"BA",77,"USA","NHL","FLA","DEF",1003
"BA",78,"USA","NHL","LAK","DEF",1590
"BA",76,"USA","NHL","LAK","DEF",290
"BA",82,"USA","NHL","MIN","DEF",305
"BA",76,"USA","NHL","MIN","DEF",2327
"BA",81,"USA","NHL","MTL","DEF",1278
"BA",75,"USA","NHL","MTL","DEF",1391
"BA",75,"USA","NHL","MTL","DEF",994
"BA",78,"USA","NHL","NSH","DEF",1640
"BA",76,"USA","NHL","NSH","DEF",1652
"BA",75,"USA","NHL","NSH","DEF",1139
"BA",80,"USA","NHL","NJD","DEF",1364
"BA",78,"USA","NHL","NJD","DEF",284
"BA",75,"USA","NHL","NJD","DEF",2014
"BA",80,"USA","NHL","NSH","DEF",245
"BA",76,"USA","NHL","NYI","DEF",2172
"BA",76,"USA","NHL","NYI","DEF",2006
"BA",84,"USA","NHL","NYR","DEF",17
"BA",75,"USA","NHL","NYR","DEF",2280
"BA",83,"USA","NHL","OTT","DEF",937
"BA",78,"USA","NHL","OTT","DEF",1646
"BA",75,"USA","NHL","OTT","DEF",2216
"BA",77,"USA","NHL","PHI","DEF",339
"BA",75,"USA","NHL","PHI","DEF",561
"BA",75,"USA","NHL","PIT","DEF",1952
"BA",77,"USA","NHL","PIT","DEF",445
"BA",77,"USA","NHL","PHI","DEF",1655
"BA",76,"USA","NHL","SJS","DEF",1648
"BA",76,"USA","NHL","SEA","DEF",1935
"BA",80,"USA","NHL","STL","DEF",337
"BA",79,"USA","NHL","STL","DEF",1177
"BA",78,"USA","NHL","STL","DEF",2177
"BA",75,"USA","NHL","STL","DEF",1483
"BA",78,"USA","NHL","TOR","DEF",934
"BA",78,"USA","NHL","TOR","DEF",838
"BA",77,"USA","NHL","TOR","DEF",249
"BA",77,"USA","NHL","UTA","DEF",1095
"BA",77,"USA","NHL","UTA","DEF",1621
"BA",76,"USA","NHL","UTA","DEF",853
"BA",76,"USA","NHL","UTA","DEF",2011
"BA",75,"USA","NHL","UTA","DEF",1643
"BA",83,"USA","NHL","VAN","DEF",1824
"BA",75,"USA","NHL","VAN","DEF",568
"BA",75,"USA","NHL","VAN","DEF",2243
"BA",77,"USA","NHL","TBL","DEF",1941
"BA",79,"USA","NHL","VGK ","DEF",1694
"BA",82,"USA","NHL","WSH","DEF",1087
"BA",77,"USA","NHL","WSH","DEF",1487
"BA",76,"USA","NHL","WSH","DEF",2190
"BA",80,"USA","NHL","WPG","DEF",1633
"BA",77,"USA","NHL","WPG","DEF",628
"ALUM",79,"USA","NHLAA","ANA","DEF",1218
"ALUM",77,"USA","NHLAA","BOS","DEF",817
"ALUM",76,"USA","NHLAA","BOS","DEF",1231
"ALUM",83,"USA","NHLAA","BUF","DEF",1802
"ALUM",82,"USA","NHLAA","CGY","DEF",776
"ALUM",81,"USA","NHLAA","CAR","DEF",2019
"ALUM",76,"USA","NHLAA","CAR","DEF",106
"ALUM",82,"USA","NHLAA","CHI","DEF",380
"ALUM",81,"USA","NHLAA","COL","DEF",1102
"ALUM",78,"USA","NHLAA","CBJ","DEF",312
"ALUM",76,"USA","NHLAA","DAL","DEF",468
"ALUM",75,"USA","NHLAA","DAL","DEF",2045
"ALUM",80,"USA","NHLAA","DET","DEF",1853
"ALUM",77,"USA","NHLAA","EDM","DEF",1293
"ALUM",82,"USA","NHLAA","FLA","DEF",1222
"CHEL",84,"USA","NHL","CAR","DEF",883
"CHEL",84,"USA","NHL","ANA","DEF",917
"ALUM",75,"USA","NHLAA","HFD","DEF",634
"ALUM",75,"USA","NHLAA","HFD","DEF",489
"ALUM",79,"USA","NHLAA","MIN","DEF",795
"ALUM",80,"USA","NHLAA","MTL","DEF",1470
"ALUM",76,"USA","NHLAA","MTL","DEF",1867
"ALUM",75,"USA","NHLAA","NYI","DEF",525
"ALUM",84,"USA","NHLAA","NYR","DEF",294
"ALUM",82,"USA","NHLAA","PIT","DEF",310
"ALUM",77,"USA","NHLAA","PIT","DEF",1959
"ALUM",78,"USA","NHLAA","SJS","DEF",1494
"ALUM",79,"USA","NHLAA","TOR","DEF",39
"ALUM",81,"USA","NHLAA","PHI","DEF",1422
"ALUM",82,"USA","NHLAA","WSH","DEF",1902
"ALUM",76,"USA","NHLAA","WPG","DEF",1796
"FI",79,"USA","NHL","NYR","DEF",2008
"BA",81,"USA","PWHL","BOS","DEF",1543
"BA",76,"USA","PWHL","BOS","DEF",816
"BA",76,"USA","PWHL","MIN","DEF",2058
"BA",77,"USA","PWHL","MIN","DEF",1616
"BA",80,"USA","PWHL","MIN","DEF",1294
"BA",77,"USA","PWHL","MTL","DEF",1381
"BA",76,"USA","PWHL","NY","DEF",1288
"BA",77,"USA","PWHL","NY","DEF",92
"BA",77,"USA","PWHL","NY","DEF",1045
"BA",76,"USA","PWHL","TOR","DEF",1200
"BA",79,"USA","PWHL","TOR","DEF",1999
"BA",80,"USA","EA","SEA","DEF",364
"BA",76,"USA","EA","SEA","DEF",666
"BA",76,"USA","EA","SEA","DEF",1412
"BA",75,"USA","EA","SEA","DEF",120
"BA",76,"USA","EA","VAN","DEF",2109
"CHEL",79,"USA","NHLAA","EDM","DEF",1959
"FI",83,"USA","NHL","CAR","DEF",1190
"CMG",82,"USA","NHL","CAR","DEF",948
"CMG",83,"USA","NHL","CHI","DEF",72
"CMG",82,"USA","NHL","PHI","DEF",339
"GB",82,"USA","NHL","NYR","DEF",1941
"CMG",78,"USA","NHL","NYR","DEF",2280
"MARQ",81,"USA","NHL","STL","DEF",1177
"MARQ",83,"USA","NHL","NSH","DEF",1640
"BA",77,"USA","AHL","ABB","DEF",396
"BA",76,"USA","AHL","ABB","DEF",1043
"BA",77,"USA","AHL","BAK","DEF",336
"BA",76,"USA","AHL","BAK","DEF",2214
"BA",77,"USA","AHL","BRI","DEF",424
"BA",77,"USA","AHL","BRI","DEF",1440
"BA",76,"USA","AHL","BRI","DEF",2183
"BA",76,"USA","AHL","BRI","DEF",1370
"BA",77,"USA","AHL","CGY","DEF",847
"BA",76,"USA","AHL","CHA","DEF",558
"BA",76,"USA","AHL","CHI","DEF",319
"BA",76,"USA","AHL","CHI","DEF",587
"BA",76,"USA","AHL","CLE","DEF",610
"BA",76,"USA","AHL","CLE","DEF",2282
"BA",78,"USA","AHL","COL","DEF",909
"BA",76,"USA","AHL","COL","DEF",2304
"BA",76,"USA","AHL","COL","DEF",884
"BA",76,"USA","AHL","COL","DEF",1915
"BA",76,"USA","AHL","COL","DEF",317
"BA",77,"USA","AHL","GR","DEF",2037
"BA",77,"USA","AHL","GR","DEF",1160
"BA",77,"USA","AHL","HFD","DEF",360
"BA",77,"USA","AHL","HFD","DEF",447
"BA",77,"USA","AHL","HFD","DEF",2008
"BA",76,"USA","AHL","HFD","DEF",358
"BA",76,"USA","AHL","HFD","DEF",1953
"BA",75,"USA","AHL","HFD","DEF",204
"BA",77,"USA","AHL","SA","DEF",925
"BA",77,"USA","AHL","SA","DEF",992
"BA",76,"USA","AHL","SA","DEF",1056
"BA",79,"USA","AHL","HER","DEF",1649
"BA",78,"USA","AHL","HER","DEF",1106
"BA",76,"USA","AHL","HER","DEF",3
"BA",75,"USA","AHL","HER","DEF",1336
"BA",77,"USA","AHL","IA","DEF",189
"BA",76,"USA","AHL","IA","DEF",1484
"BA",76,"USA","AHL","IA","DEF",2308
"BA",76,"USA","AHL","IA","DEF",2284
"BA",76,"USA","AHL","LAV","DEF",1619
"BA",76,"USA","AHL","LAV","DEF",1153
"BA",76,"USA","AHL","LAV","DEF",2309
"BA",76,"USA","AHL","LV","DEF",850
"BA",77,"USA","AHL","MIL","DEF",2077
"BA",76,"USA","AHL","MIL","DEF",1235
"BA",76,"USA","AHL","MIL","DEF",1958
"BA",77,"USA","AHL","ONT","DEF",895
"BA",77,"USA","AHL","PRO","DEF",200
"BA",76,"USA","AHL","PRO","DEF",431
"BA",76,"USA","AHL","PRO","DEF",1938
"BA",78,"USA","AHL","ROC","DEF",1932
"BA",77,"USA","AHL","ROC","DEF",897
"BA",76,"USA","AHL","ROC","DEF",2332
"BA",76,"USA","AHL","RFD","DEF",112
"BA",76,"USA","AHL","SJ","DEF",699
"BA",77,"USA","AHL","SPR","DEF",461
"BA",76,"USA","AHL","SPR","DEF",852
"BA",76,"USA","AHL","SYR","DEF",2171
"BA",76,"USA","AHL","SYR","DEF",1490
"BA",76,"USA","AHL","SYR","DEF",2103
"BA",76,"USA","AHL","SYR","DEF",1909
"BA",75,"USA","AHL","SYR","DEF",552
"BA",76,"USA","AHL","TEX","DEF",1555
"BA",76,"USA","AHL","TEX","DEF",1267
"BA",75,"USA","AHL","TEX","DEF",1365
"BA",77,"USA","AHL","TOR","DEF",480
"BA",76,"USA","AHL","TOR","DEF",324
"BA",75,"USA","AHL","TUC","DEF",1889
"BA",77,"USA","AHL","WBS","DEF",1805
"BA",77,"USA","AHL","WBS","DEF",899
"BA",76,"USA","AHL","WBS","DEF",330
"BA",77,"USA","AHL","RFD","DEF",363
"MARQ",80,"USA","NHL","STL","DEF",2177
"TRAN",80,"USA","NHL","CHI","DEF",2307
"TRAN",84,"USA","NHL","STL","DEF",337
"TRAN",84,"USA","NHL","NJD","DEF",1364
"BA",76,"USA","SHL","DIF","DEF",916
"MARQ",85,"USA","NHL","NYR","DEF",17
"TRAN",84,"USA","NHL","ANA","DEF",905
"BA",77,"USA","SHL","LIF","DEF",1476
"BA",77,"USA","SHL","ÖRE","DEF",1367
"BA",78,"USA","SHL","RBK","DEF",1776
"BA",77,"USA","SHL","VLH","DEF",289
"BA",77,"USA","SHL","VLH","DEF",2330
"CHEL",86,"USA","NHL","MTL","DEF",1278
"CHEL",85,"USA","NHL","FLA","DEF",2036
"CHEL",82,"USA","NHL","UTA","DEF",1621
"FACE",81,"USA","NHL","WSH","DEF",2190
"FACE",83,"USA","NHL","BOS","DEF",111
"FACE",82,"USA","NHL","MIN","DEF",2327
"TRAN",81,"USA","NHL","CHI","DEF",1482
"FACE",81,"USA","NHL","DET","DEF",1178
"FACE",82,"USA","NHL","SJS","DEF",1648
"FACE",84,"USA","NHL","LAK","DEF",1590
"MARQ",84,"USA","NHL","MIN","DEF",2346
"FACE",82,"USA","NHL","PIT","DEF",445
"FACE",83,"USA","NHL","TOR","DEF",934
"FACE",87,"USA","NHL","CBJ","DEF",2333
"MARQ",83,"USA","NHL","CAR","DEF",2049
"BEM",82,"USA","NHL","UTA","DEF",1643
"FACE",85,"USA","NHL","NYI","DEF",1440
"BEM",82,"USA","NHL","CAR","DEF",1588
"BEM",81,"USA","NHL","VAN","DEF",568
"BEM",81,"USA","NHL","ANA","DEF",612
"BEM",85,"USA","NHL","UTA","DEF",1095
"TRAN",82,"USA","AHL","HER","DEF",461
"BEM",85,"USA","NHL","OTT","DEF",937
"GB",84,"USA","NHL","NJD","DEF",284
"BEM",83,"USA","PWHL","SEA","DEF",1412
"MARQ",83,"USA","PWHL","TOR","DEF",1200
"MARQ",83,"USA","PWHL","MIN","DEF",2058
"CMG",86,"USA","PWHL","TOR","DEF",1999
"CMG",83,"USA","PWHL","SEA","DEF",120
"FI",85,"USA","PWHL","NY","DEF",92
"CCAP",88,"USA","NHL","WSH","DEF",1087
"CCAP",88,"USA","NHL","STL","DEF",337
"CCAP",88,"USA","PWHL","BOS","DEF",1543
"CHEL",85,"USA","NHLAA","NYR","DEF",294
"BA",77,"Russia","NHL","ANA","DEF",1783
"BA",78,"Canada","NHL","ANA","DEF",1709
"BA",78,"Czechia","NHL","ANA","DEF",1829
"FI",82,"Sweden","NHL","BOS","DEF",818
"BA",80,"Sweden","NHL","BOS","DEF",818
"BA",79,"Russia","NHL","BOS","DEF",1674
"BA",77,"Finland","NHL","BOS","DEF",832
"BA",84,"Sweden","NHL","BUF","DEF",1841
"BA",81,"Canada","NHL","BUF","DEF",229
"BA",82,"Canada","NHL","BUF","DEF",1747
"FI",84,"Canada","NHL","TOR","DEF",1611
"FI",83,"Russia","NHL","NYR","DEF",2265
"FI",81,"Canada","NHL","PHI","DEF",955
"FI",79,"Canada","NHL","LAK","DEF",416
"BA",81,"Sweden","NHL","CGY","DEF",1840
"BA",81,"Canada","NHL","CGY","DEF",1375
"BA",78,"Canada","NHL","CGY","DEF",2342
"BA",76,"Canada","NHL","CGY","DEF",924
"BA",76,"Canada","NHL","CGY","DEF",1070
"BA",76,"Russia","NHL","CGY","DEF",501
"BA",75,"Canada","NHL","CGY","DEF",1232
"BA",75,"Canada","NHL","CGY","DEF",259
"BA",77,"Canada","NHL","CAR","DEF",2024
"BA",77,"Canada","NHL","CHI","DEF",2113
"BA",77,"Canada","NHL","CHI","DEF",1239
"BA",76,"Belarus","NHL","CHI","DEF",154
"BA",75,"Canada","NHL","CHI","DEF",1337
"BA",84,"Canada","NHL","COL","DEF",328
"BA",83,"Canada","NHL","COL","DEF",574
"BA",80,"Canada","NHL","COL","DEF",1983
"BA",79,"Canada","NHL","COL","DEF",273
"BA",78,"Canada","NHL","COL","DEF",1155
"BA",75,"Canada","NHL","COL","DEF",1212
"BA",80,"Canada","NHL","CBJ","DEF",485
"BA",78,"Canada","NHL","CBJ","DEF",506
"BA",78,"Russia","NHL","CBJ","DEF",875
"BA",77,"Canada","NHL","CBJ","DEF",567
"BA",76,"Canada","NHL","CBJ","DEF",681
"BA",75,"Canada","NHL","CBJ","DEF",927
"BA",75,"Slovakia","NHL","CBJ","DEF",394
"BA",82,"Finland","NHL","DAL","DEF",1601
"BA",81,"Canada","NHL","DAL","DEF",2145
"BA",79,"Finland","NHL","DAL","DEF",691
"BA",78,"Russia","NHL","DAL","DEF",857
"BA",76,"Switzerland","NHL","DAL","DEF",1308
"BA",76,"Sweden","NHL","DAL","DEF",1689
"BA",75,"Belarus","NHL","DAL","DEF",2266
"BA",81,"Germany","NHL","DET","DEF",1612
"BA",79,"Sweden","NHL","DET","DEF",2061
"BA",77,"Sweden","NHL","DET","DEF",682
"BA",76,"Canada","NHL","DET","DEF",180
"BA",76,"Canada","NHL","DET","DEF",906
"BA",75,"Sweden","NHL","DET","DEF",42
"BA",75,"Sweden","NHL","DET","DEF",2289
"BA",75,"Canada","NHL","DET","DEF",855
"BA",84,"Canada","NHL","EDM","DEF",705
"BA",82,"Sweden","NHL","EDM","DEF",1507
"BA",81,"Canada","NHL","EDM","DEF",512
"BA",81,"Canada","NHL","EDM","DEF",938
"BA",79,"Canada","NHL","EDM","DEF",283
"BA",77,"Canada","NHL","EDM","DEF",2199
"BA",75,"Canada","NHL","EDM","DEF",1148
"BA",81,"Sweden","NHL","FLA","DEF",809
"BA",80,"Canada","NHL","FLA","DEF",2
"BA",78,"Finland","NHL","FLA","DEF",1681
"BA",77,"Latvia","NHL","FLA","DEF",2232
"BA",77,"Russia","NHL","FLA","DEF",584
"BA",82,"Canada","NHL","LAK","DEF",611
"BA",79,"Canada","NHL","LAK","DEF",257
"BA",78,"Canada","NHL","LAK","DEF",1067
"BA",77,"Canada","NHL","LAK","DEF",416
"BA",76,"Sweden","NHL","LAK","DEF",912
"BA",75,"Canada","NHL","LAK","DEF",1263
"BA",81,"Sweden","NHL","MIN","DEF",1109
"BA",78,"Canada","NHL","MIN","DEF",972
"BA",77,"Canada","NHL","MIN","DEF",911
"BA",82,"Canada","NHL","MTL","DEF",1692
"BA",80,"Canada","NHL","MTL","DEF",1557
"BA",79,"Canada","NHL","MTL","DEF",1195
"BA",76,"Canada","NHL","MTL","DEF",83
"BA",76,"Canada","NHL","MTL","DEF",144
"BA",83,"Switzerland","NHL","NSH","DEF",1908
"BA",76,"Canada","NHL","NSH","DEF",1172
"BA",76,"Canada","NHL","NSH","DEF",1665
"BA",76,"Sweden","NHL","NSH","DEF",101
"BA",75,"Sweden","NHL","NSH","DEF",33
"BA",81,"Canada","NHL","NJD","DEF",606
"BA",77,"Slovakia","NHL","NJD","DEF",2067
"BA",76,"Canada","NHL","NJD","DEF",269
"BA",75,"Canada","NHL","NJD","DEF",559
"BA",75,"Canada","NHL","NJD","DEF",1103
"BA",76,"Switzerland","NHL","NJD","DEF",1112
"BA",80,"Canada","NHL","NYI","DEF",1947
"BA",79,"Canada","NHL","NYI","DEF",31
"BA",77,"Sweden","NHL","NYI","DEF",11
"BA",77,"Russia","NHL","NYI","DEF",78
"BA",80,"Russia","NHL","NYR","DEF",2265
"BA",80,"Canada","NHL","NYR","DEF",241
"BA",77,"Canada","NHL","NYR","DEF",354
"BA",76,"Finland","NHL","NYR","DEF",2231
"BA",82,"Canada","NHL","OTT","DEF",2144
"BA",78,"Canada","NHL","OTT","DEF",1140
"BA",77,"Russia","NHL","OTT","DEF",148
"BA",76,"Finland","NHL","OTT","DEF",1685
"BA",82,"Canada","NHL","PHI","DEF",2185
"BA",79,"Canada","NHL","PHI","DEF",955
"BA",75,"Canada","NHL","PHI","DEF",1928
"BA",75,"Canada","NHL","PHI","DEF",1696
"BA",83,"Sweden","NHL","PIT","DEF",684
"BA",80,"Canada","NHL","PIT","DEF",1259
"BA",76,"Finland","NHL","PHI","DEF",1843
"BA",76,"Russia","NHL","PHI","DEF",2322
"BA",75,"Sweden","NHL","PHI","DEF",660
"BA",75,"Canada","NHL","PIT","DEF",1756
"BA",76,"Canada","NHL","PIT","DEF",1930
"BA",77,"Canada","NHL","PIT","DEF",1480
"BA",81,"Canada","NHL","SJS","DEF",1416
"BA",79,"Sweden","NHL","SJS","DEF",2157
"BA",78,"Russia","NHL","SJS","DEF",585
"BA",77,"Sweden","NHL","SJS","DEF",1343
"BA",76,"Canada","NHL","SJS","DEF",2258
"BA",76,"Russia","NHL","SJS","DEF",2038
"BA",75,"Canada","NHL","SJS","DEF",1341
"BA",75,"Sweden","NHL","SJS","DEF",1091
"BA",83,"Canada","NHL","SEA","DEF",253
"BA",82,"Canada","NHL","SEA","DEF",2255
"BA",77,"Sweden","NHL","SEA","DEF",26
"BA",77,"Canada","NHL","SEA","DEF",958
"BA",76,"Canada","NHL","SEA","DEF",1962
"BA",75,"Canada","NHL","SEA","DEF",1154
"BA",81,"Canada","NHL","STL","DEF",440
"BA",79,"Sweden","NHL","STL","DEF",1804
"BA",77,"Canada","NHL","STL","DEF",1328
"BA",75,"Canada","NHL","STL","DEF",2221
"BA",84,"Sweden","NHL","TBL","DEF",2241
"BA",81,"Canada","NHL","TBL","DEF",515
"BA",80,"Slovakia","NHL","TBL","DEF",679
"BA",78,"Switzerland","NHL","TBL","DEF",877
"BA",76,"Norway","NHL","TBL","DEF",665
"BA",83,"Canada","NHL","TOR","DEF",1611
"BA",78,"Sweden","NHL","TOR","DEF",1711
"BA",77,"Canada","NHL","TOR","DEF",403
"BA",75,"Canada","NHL","TOR","DEF",2059
"BA",75,"Finland","NHL","TOR","DEF",963
"BA",75,"Canada","NHL","TOR","DEF",1809
"BA",83,"Russia","NHL","UTA","DEF",1592
"BA",81,"Canada","NHL","UTA","DEF",2017
"BA",76,"Canada","NHL","UTA","DEF",1521
"BA",75,"Finland","NHL","UTA","DEF",1720
"BA",81,"Czechia","NHL","VAN","DEF",730
"BA",77,"Sweden","NHL","VAN","DEF",1407
