"card_id","img","position","nationality","event","league","team","weight","height","salary","overall","deking","hand_eye","passing","puck_control","slap_shot_accuracy","slap_shot_power","wrist_shot_accuracy","wrist_shot_power","acceleration","agility","balance","endurance","speed","discipline","off_awareness","def_awareness","faceoffs","shot_blocking","stick_checking","aggression","body_checking","durability","fighting_skill","strength","POS","player_id"
"75032462-26a6-41e7-a335-e7b7c64fb82b","75032462-26a6-41e7-a335-e7b7c64fb82b.jpg","RD","Germany","CAP","NHL","DET",92.9,191,3,82,79,75,83,80,75,88,76,86,83,81,86,80,83,77,80,84,45,87,87,83,85,80,67,85,"DEF",1141
"fa111911-9051-4fb4-a9b2-17eb8fb35267","fa111911-9051-4fb4-a9b2-17eb8fb35267.jpg","LD","USA","CAP","NHL","NJD",89.7,188,3,82,81,78,85,85,79,86,80,85,87,84,81,74,90,81,84,83,51,81,81,80,80,81,62,81,"DEF",972
"3de43291-6379-4e27-9f38-dcf99cfd22d4","3de43291-6379-4e27-9f38-dcf99cfd22d4.jpg","LD","Canada","XP","NHL","SEA",90.6,183,2,81,81,75,84,82,75,86,77,85,84,82,81,81,85,74,83,83,49,79,82,81,79,82,59,81,"DEF",1609
"329b6ec8-5daf-486c-a662-bd2e5f928cb8","329b6ec8-5daf-486c-a662-bd2e5f928cb8.jpg","LD","Canada","XP","NHL","SEA",90.6,183,5,84,84,78,87,85,78,89,80,88,87,85,84,84,88,77,86,86,52,82,85,84,82,85,64,84,"DEF",1609
"dff8d571-6017-49e0-a105-240b97efae0d","dff8d571-6017-49e0-a105-240b97efae0d.jpg","LD","Canada","XP","NHL","SEA",90.6,183,1,80,80,74,83,81,74,85,76,84,83,81,80,80,84,73,82,82,48,78,81,80,78,81,58,80,"DEF",1609
"5c203b90-985b-47e0-a757-15b425f75128","5c203b90-985b-47e0-a757-15b425f75128.jpg","LD","Canada","XP","NHL","SEA",90.6,183,3,82,82,76,85,83,76,87,78,86,85,83,82,82,86,75,84,84,50,80,83,82,80,83,60,82,"DEF",1609
"dc0ac6e3-bed2-4bc0-93d8-4fe6afaf61e0","dc0ac6e3-bed2-4bc0-93d8-4fe6afaf61e0.jpg","LD","Canada","XP","NHL","SEA",90.6,183,6,85,85,79,88,86,79,90,81,89,88,86,85,85,89,78,87,87,53,83,86,85,83,86,63,85,"DEF",1609
"f3ab7563-9953-433c-aa15-fa4bfc35c3bd","f3ab7563-9953-433c-aa15-fa4bfc35c3bd.jpg","LD","Canada","XP","NHL","SEA",90.6,183,4,83,83,77,86,84,77,88,79,87,86,84,83,83,87,76,85,85,51,81,84,83,81,84,62,83,"DEF",1609
"63c3ca95-7dcc-4c7e-858f-d46143c395ee","63c3ca95-7dcc-4c7e-858f-d46143c395ee.jpg","RD","Czechia","XP","NHL","VAN",86.1,183,5,84,84,79,85,85,80,90,81,86,86,84,82,85,88,82,84,84,52,85,86,82,82,84,65,84,"DEF",539
"00aec38a-8f32-49b2-8b28-41f7306002ef","00aec38a-8f32-49b2-8b28-41f7306002ef.jpg","RD","Czechia","XP","NHL","VAN",86.1,183,2,81,81,76,82,82,77,87,78,83,83,81,79,82,85,79,81,81,49,82,83,79,79,81,62,81,"DEF",539
"43d543dc-11a9-4003-9f27-2db5a606eda6","43d543dc-11a9-4003-9f27-2db5a606eda6.jpg","RD","Czechia","XP","NHL","VAN",86.1,183,1,80,80,75,81,81,76,86,77,82,82,80,78,81,84,78,80,80,48,81,82,78,78,80,62,80,"DEF",539
"e45dada7-dd2e-4b7c-8b25-1f6b8463dd02","e45dada7-dd2e-4b7c-8b25-1f6b8463dd02.jpg","RD","Czechia","XP","NHL","VAN",86.1,183,3,82,82,77,83,83,78,88,79,84,84,82,80,83,86,81,82,82,51,83,84,80,80,82,62,82,"DEF",539
"40345a84-3f07-4b8a-b5eb-280ede35b36d","40345a84-3f07-4b8a-b5eb-280ede35b36d.jpg","RD","Czechia","XP","NHL","VAN",86.1,183,4,83,83,78,84,84,79,89,80,85,85,83,81,84,87,81,83,83,51,84,85,81,81,83,64,83,"DEF",539
"25816f80-50be-4fa9-a9e2-7ba46ac9ded8","25816f80-50be-4fa9-a9e2-7ba46ac9ded8.jpg","RD","Czechia","XP","NHL","VAN",86.1,183,6,85,85,80,86,86,81,91,82,87,87,86,83,86,89,83,85,85,53,86,87,83,83,85,66,85,"DEF",539
"81897449-0be0-4d1e-be5d-2a8ff2d0911d","81897449-0be0-4d1e-be5d-2a8ff2d0911d.jpg","LD","USA","ROOK","NHL","MTL",73.4,175,4,83,90,87,89,89,77,84,78,85,86,91,82,72,86,78,88,86,48,76,86,73,68,83,57,81,"DEF",923
"ddcbc6a2-d7d3-4051-8040-3e82ee1b3477","ddcbc6a2-d7d3-4051-8040-3e82ee1b3477.jpg","RD","Canada","TOTW","NHL","NSH",89.7,188,3,82,81,76,81,80,80,86,81,86,87,83,83,79,86,80,80,83,53,85,84,83,86,83,73,83,"DEF",847
"8dac2a2d-9044-4d38-be42-2df4a164f8ce","8dac2a2d-9044-4d38-be42-2df4a164f8ce.jpg","LD","Canada","TOTW","NHL","CBJ",91.1,185,3,82,81,77,80,80,79,86,79,84,87,83,86,81,86,82,77,82,57,83,85,86,86,86,82,86,"DEF",353
"89773cad-f23f-47da-a653-7f5ba4b14d3d","89773cad-f23f-47da-a653-7f5ba4b14d3d.jpg","LD","Canada","ICON","NHLAA","EDM",92.9,183,7,86,84,85,92,90,88,89,89,92,91,91,84,88,94,77,93,82,56,80,84,81,81,85,68,84,"DEF",1249
"8e4a419c-a939-4362-8d03-3281d44af8ed","8e4a419c-a939-4362-8d03-3281d44af8ed.jpg","LD","Canada","TOTW","NHL","MTL",108.7,193,3,82,80,80,80,80,83,85,80,84,85,80,85,84,86,80,80,80,50,86,83,85,88,83,85,87,"DEF",103
"3b30680a-87e3-4cd3-a1c2-064ebbce9f77","3b30680a-87e3-4cd3-a1c2-064ebbce9f77.jpg","RD","USA","TOTW","NHL","TOR",99.7,196,3,82,80,80,80,80,80,82,80,82,84,81,84,81,84,80,80,86,52,85,87,85,85,82,80,84,"DEF",175
"5e046748-5000-47e9-a54d-906c855ac0f1","5e046748-5000-47e9-a54d-906c855ac0f1.jpg","RD","Sweden","FANT","NHL","SJS",91.1,185,6,85,88,81,88,86,80,88,81,88,87,88,86,86,88,84,83,86,61,88,87,85,86,86,64,86,"DEF",1537
"b7d0087f-394a-4562-9d50-4cef2950ab41","b7d0087f-394a-4562-9d50-4cef2950ab41.jpg","RD","USA","FANT","NHL","WPG",86.1,183,6,85,85,80,88,85,82,86,83,86,87,86,85,86,87,82,85,88,52,84,86,81,82,82,67,82,"DEF",1156
"f9b2eae3-bb0c-4ebf-9375-9e11b96cf202","f9b2eae3-bb0c-4ebf-9375-9e11b96cf202.jpg","LD","Russia","FANT","NHL","CBJ",101.5,185,12,91,91,86,93,93,86,94,87,94,90,93,93,92,90,89,93,93,61,94,94,91,91,96,81,93,"DEF",638
"39dee0e3-c36a-4ac6-9600-1b79bb9f8159","39dee0e3-c36a-4ac6-9600-1b79bb9f8159_v1.jpg","RD","Sweden","FANT","NHL","SEA",93.8,191,6,85,80,78,84,83,78,87,80,87,85,84,88,84,85,75,83,88,55,90,88,85,88,85,70,88,"DEF",22
"7c43c5ba-5bca-4452-bb7f-680ee82f4dc3","7c43c5ba-5bca-4452-bb7f-680ee82f4dc3_v1.jpg","LD","USA","FANT","NHL","VGK ",93.3,191,6,85,84,79,86,86,79,87,79,87,87,86,86,90,88,82,85,88,54,88,89,84,86,88,74,87,"DEF",1206
"ae9f1be1-9534-4a79-8e3e-9fca573ee895","ae9f1be1-9534-4a79-8e3e-9fca573ee895_v1.jpg","LD","Canada","FANT","NHL","TOR",99.2,185,12,91,91,88,96,94,87,93,88,92,89,92,93,93,89,94,94,92,64,94,95,89,89,89,71,93,"DEF",1140
"9aaef86c-0998-45a9-8d97-d6d4face9d64","9aaef86c-0998-45a9-8d97-d6d4face9d64.jpg","RD","Canada","FANT","NHL","MIN",75.2,175,2,81,85,77,85,85,76,82,76,82,85,85,78,81,85,90,80,85,50,83,85,80,75,80,58,78,"DEF",705
"0bb8a12b-03a7-448d-864e-2d9a46f1d037","0bb8a12b-03a7-448d-864e-2d9a46f1d037.jpg","LD","Canada","FANT","NHL","BUF",92.9,185,10,89,91,83,91,91,83,91,83,91,90,91,90,89,91,83,90,90,58,91,92,88,88,88,70,90,"DEF",159
"6561bb79-0d7d-4fcf-9b4d-b2f6462f23e6","6561bb79-0d7d-4fcf-9b4d-b2f6462f23e6.jpg","RD","Canada","FANT","NHL","PIT",90.1,183,2,81,80,78,82,82,76,86,77,85,84,82,80,79,85,75,82,82,50,83,85,80,82,75,68,80,"DEF",909
"71e0701a-a29b-4c98-b75c-310eca51641f","71e0701a-a29b-4c98-b75c-310eca51641f.jpg","LD","Canada","FANT","NHL","COL",86.5,185,0.7,77,79,72,79,79,72,78,72,77,83,78,75,75,84,80,79,80,45,79,82,74,74,75,56,75,"DEF",432
"a18b08aa-3fc2-4eaa-99ef-1fa5d8d932c1","a18b08aa-3fc2-4eaa-99ef-1fa5d8d932c1_v1.jpg","LD","USA","FANT","NHL","NSH",95.1,191,0.7,77,74,71,77,75,69,79,71,79,84,78,79,77,84,71,74,79,46,80,79,76,78,78,69,79,"DEF",172
"d884440f-c89b-4034-ade9-9752c3d75a9c","d884440f-c89b-4034-ade9-9752c3d75a9c.jpg","RD","USA","BA","NHL","ANA",96,191,0.8,78,72,72,76,76,70,80,72,80,81,77,84,77,82,67,71,79,47,83,82,84,82,77,62,82,"DEF",663
"6667fa01-93ed-475a-baff-b2ef2b225d73","6667fa01-93ed-475a-baff-b2ef2b225d73.jpg","RD","USA","BA","NHL","ANA",96.5,191,0.5,75,74,70,71,70,63,81,66,80,80,78,79,73,82,74,66,74,49,78,76,79,77,79,70,79,"DEF",464
"52cadc31-93af-4b3a-80e2-975b873b31ca","52cadc31-93af-4b3a-80e2-975b873b31ca.jpg","LD","USA","BA","NHL","ANA",92.9,188,2,81,77,75,82,80,74,85,75,85,83,81,83,82,85,77,80,83,57,85,84,77,78,82,59,84,"DEF",655
"5005cfc6-af11-4712-89c6-851bee79e2ce","5005cfc6-af11-4712-89c6-851bee79e2ce.jpg","RD","USA","BA","NHL","BOS",94.7,185,3,82,80,76,83,82,77,83,78,82,85,82,82,81,86,74,82,85,49,82,87,81,82,79,67,83,"DEF",272
"fc41f49b-ea53-4991-bff9-351855d84279","fc41f49b-ea53-4991-bff9-351855d84279.jpg","LD","USA","BA","NHL","BOS",99.7,196,0.9,79,72,73,74,74,72,83,73,83,82,79,83,79,82,80,78,82,45,72,84,80,80,80,72,83,"DEF",1033
"fd517856-8539-44b9-b94f-2453e4365778","fd517856-8539-44b9-b94f-2453e4365778.jpg","RD","USA","BA","NHL","BOS",96.9,191,0.7,77,73,69,74,74,75,82,70,81,78,75,82,76,78,72,70,78,45,81,81,80,81,80,72,82,"DEF",86
"a08ee915-a988-445e-8daf-69e0cb7fb8c6","a08ee915-a988-445e-8daf-69e0cb7fb8c6.jpg","LD","USA","BA","NHL","BOS",84.7,180,0.6,76,76,70,76,74,71,78,72,78,82,78,76,73,82,75,72,75,47,77,76,76,76,77,62,76,"DEF",819
"42cd7140-0123-48cc-aeda-94d77e511fd6","42cd7140-0123-48cc-aeda-94d77e511fd6.jpg","LD","USA","BA","NHL","BOS",90.1,188,0.5,75,70,71,71,70,60,84,63,83,79,78,83,73,79,72,66,74,57,80,81,80,78,82,72,83,"DEF",1090
"c84d820f-d3b3-44de-ac0d-d845df36ccac","c84d820f-d3b3-44de-ac0d-d845df36ccac.jpg","RD","USA","FI","NHL","MIN",90.6,185,5,84,86,81,85,84,79,85,81,85,88,86,83,82,91,83,84,87,58,86,88,83,83,83,66,83,"DEF",223
"3fc1876f-7287-4b08-8bf3-f42326b0267f","3fc1876f-7287-4b08-8bf3-f42326b0267f.jpg","LD","USA","BA","NHL","CAR",93.8,191,3,82,80,76,83,80,76,84,76,83,84,82,83,81,85,86,79,88,51,85,90,81,83,86,67,83,"DEF",646
"d8c8e927-08b4-4dbf-a84a-2d17e5259af5","d8c8e927-08b4-4dbf-a84a-2d17e5259af5.jpg","LD","USA","BA","NHL","CAR",82.9,180,2,81,84,82,86,84,80,84,82,83,83,80,80,80,83,80,87,80,50,81,83,75,75,80,62,80,"DEF",1454
"8c514962-6dac-4121-8326-e1cdf25646af","8c514962-6dac-4121-8326-e1cdf25646af.jpg","LD","USA","BA","NHL","CAR",95.1,196,0.9,79,75,72,77,76,70,81,71,81,83,80,81,83,86,78,73,79,48,82,83,80,81,78,67,82,"DEF",859
"ffbcff74-fabb-4225-ab1b-67bcdc3946c9","ffbcff74-fabb-4225-ab1b-67bcdc3946c9.jpg","RD","USA","BA","NHL","CAR",90.1,185,0.8,78,70,65,76,75,71,82,72,82,82,79,80,81,82,75,75,81,45,83,83,82,82,80,69,80,"DEF",686
"f24e3b45-2adc-4d7e-9150-81ddadc5fd40","f24e3b45-2adc-4d7e-9150-81ddadc5fd40.jpg","LD","USA","BA","NHL","CAR",86.5,188,0.5,75,76,69,75,73,66,80,65,79,81,78,78,73,81,73,71,75,48,74,76,75,73,78,62,78,"DEF",1121
"d17eb1c3-8b4f-40d2-938a-d2b2d0ee9ffd","d17eb1c3-8b4f-40d2-938a-d2b2d0ee9ffd.jpg","LD","USA","BA","NHL","CHI",98.3,198,1,80,75,75,77,77,72,83,73,83,82,80,83,79,82,76,76,84,51,85,88,81,81,81,67,82,"DEF",55
"b2027343-852a-4c77-bf40-bb6fc7a517de","b2027343-852a-4c77-bf40-bb6fc7a517de.jpg","RD","USA","BA","NHL","CHI",96,193,0.9,79,70,70,77,75,70,82,71,82,80,78,83,79,81,75,75,82,50,82,84,83,83,75,69,83,"DEF",334
"5afe144f-e6f7-4404-b89a-8c91b58def97","5afe144f-e6f7-4404-b89a-8c91b58def97.jpg","LD","USA","BA","NHL","CHI",78.4,183,0.5,75,76,73,74,73,68,79,70,78,82,79,72,76,82,74,70,77,54,76,76,72,72,79,62,76,"DEF",1653
"5ea96343-4485-45bb-b45a-77c9af90bbe8","5ea96343-4485-45bb-b45a-77c9af90bbe8.jpg","RD","USA","BA","NHL","COL",86.1,180,0.6,76,77,72,73,72,71,79,71,79,82,79,78,73,83,78,72,76,48,78,77,73,73,78,62,78,"DEF",1395
"f1c4002a-3067-4a9e-9905-ecaa77c9e171","f1c4002a-3067-4a9e-9905-ecaa77c9e171.jpg","LD","USA","BA","NHL","CBJ",95.6,188,5,84,82,79,87,87,76,85,77,84,86,83,85,83,89,79,85,87,56,86,87,81,83,81,67,85,"DEF",1670
"dc08b4e6-37ca-4e70-861d-bbce09a1c0a3","dc08b4e6-37ca-4e70-861d-bbce09a1c0a3.jpg","RD","USA","BA","NHL","DET",87.9,193,0.5,75,67,67,72,73,68,78,70,77,78,75,80,73,79,62,72,76,47,80,79,78,77,72,72,80,"DEF",851
"16808c8f-05ad-4cf4-8c03-7b6b81cab833","16808c8f-05ad-4cf4-8c03-7b6b81cab833.jpg","RD","USA","BA","NHL","EDM",87.4,188,0.5,75,73,69,71,70,66,79,65,79,81,77,81,71,81,73,71,79,43,79,80,73,73,76,67,78,"DEF",1573
"47edbac9-3dbc-41e9-9d59-f27b00238ddc","47edbac9-3dbc-41e9-9d59-f27b00238ddc.jpg","RD","USA","BA","NHL","EDM",95.6,193,0.5,75,73,67,72,72,68,80,69,79,78,75,79,71,78,68,67,73,48,78,78,79,79,78,67,80,"DEF",36
"330b7fb5-d49f-4247-bfec-b66edefb298a","330b7fb5-d49f-4247-bfec-b66edefb298a.jpg","RD","USA","BA","NHL","FLA",96.5,193,3,82,80,77,85,85,76,87,77,85,85,83,84,80,86,78,82,82,50,85,85,80,80,82,67,84,"DEF",1443
"a89fb278-77df-486d-b788-7b9cd585d614","a89fb278-77df-486d-b788-7b9cd585d614.jpg","RD","USA","BA","NHL","FLA",94.2,191,0.7,77,72,70,77,76,70,80,70,79,81,77,80,76,81,75,74,77,47,79,78,77,77,77,67,79,"DEF",732
"2f610302-40f8-4e01-becb-1fe2882deee6","2f610302-40f8-4e01-becb-1fe2882deee6.jpg","LD","USA","BA","NHL","LAK",88.3,183,0.8,78,76,76,78,76,72,77,75,78,81,78,78,81,82,72,75,80,52,82,82,77,78,77,67,78,"DEF",1123
"d29a4360-7c20-4b24-a42b-0de87f37c342","d29a4360-7c20-4b24-a42b-0de87f37c342.jpg","LD","USA","BA","NHL","LAK",96.9,193,0.6,76,71,68,75,74,68,79,69,79,81,76,79,76,81,77,70,78,47,79,79,77,79,79,67,79,"DEF",211
"b1d2d0c0-7b4f-405d-b990-c4b3eba3f087","b1d2d0c0-7b4f-405d-b990-c4b3eba3f087.jpg","RD","USA","BA","NHL","MIN",90.6,185,3,82,84,79,83,82,77,83,79,83,87,84,81,81,90,81,82,85,56,84,86,81,81,81,66,81,"DEF",223
"20732b0e-1449-4760-92d2-ab3623aa5923","20732b0e-1449-4760-92d2-ab3623aa5923.jpg","RD","USA","BA","NHL","MIN",104.6,191,0.6,76,69,67,72,71,67,79,67,79,81,74,82,73,86,62,70,75,47,77,79,80,80,68,72,82,"DEF",1668
"bb5399bf-ac69-4fe1-b47e-77ade4a89a0c","bb5399bf-ac69-4fe1-b47e-77ade4a89a0c.jpg","LD","USA","BA","NHL","MTL",73.4,175,2,81,88,85,87,87,75,82,76,83,85,89,80,82,85,76,86,84,46,74,84,71,66,81,57,79,"DEF",923
"b5e802d6-9646-445b-b0af-4a1c1903a571","b5e802d6-9646-445b-b0af-4a1c1903a571.jpg","LD","USA","BA","NHL","MTL",85.2,180,0.5,75,76,71,74,73,69,79,71,78,82,79,76,72,83,73,72,74,53,77,78,76,76,78,57,78,"DEF",988
"8de5a4a0-cfb8-4c97-8ac7-3ff9951f0bb5","8de5a4a0-cfb8-4c97-8ac7-3ff9951f0bb5.jpg","LD","USA","BA","NHL","MTL",93.8,183,0.5,75,72,70,73,72,66,79,69,79,82,76,77,73,83,72,69,74,47,76,75,76,79,77,67,76,"DEF",724
"03ca393b-d816-49b1-b544-206464aef223","03ca393b-d816-49b1-b544-206464aef223.jpg","RD","USA","BA","NHL","NSH",80.2,175,0.8,78,83,75,79,79,75,81,75,80,86,84,75,81,86,78,76,78,55,78,79,75,72,80,57,77,"DEF",1162
"343a4085-48d7-4974-b318-f955cfc9f1a5","343a4085-48d7-4974-b318-f955cfc9f1a5.jpg","RD","USA","BA","NHL","NSH",93.3,193,0.6,76,72,69,75,76,68,80,69,80,80,76,79,73,81,75,74,77,47,81,79,78,77,77,62,79,"DEF",1174
"d37ed8c5-5ad8-4a94-bf5f-8dce30c6ee55","d37ed8c5-5ad8-4a94-bf5f-8dce30c6ee55.jpg","LD","USA","BA","NHL","NSH",82,183,0.5,75,74,69,71,72,69,80,70,79,78,75,79,73,78,79,66,77,49,78,78,78,79,79,62,79,"DEF",822
"9876ec03-f730-47a5-8a9e-043e3e8e0385","9876ec03-f730-47a5-8a9e-043e3e8e0385.jpg","LD","USA","BA","NHL","NJD",89.7,188,1,80,78,75,82,82,76,83,77,82,85,81,78,81,88,78,81,80,48,78,78,77,77,78,62,78,"DEF",972
"21f01469-f1cb-4c40-956f-7cc7b54edc29","21f01469-f1cb-4c40-956f-7cc7b54edc29.jpg","RD","USA","BA","NHL","NJD",93.3,191,0.8,78,75,69,76,76,71,80,72,80,82,77,80,78,82,75,73,84,52,82,84,79,79,77,57,81,"DEF",207
"4c3f4994-c891-436a-b015-a28878cad31d","4c3f4994-c891-436a-b015-a28878cad31d.jpg","RD","USA","BA","NHL","NJD",73.4,178,0.5,75,76,71,76,74,71,79,72,79,81,79,70,76,82,73,76,78,43,77,77,68,67,78,62,75,"DEF",1426
"afaa88cc-a7a2-42d3-bd0f-4476e6922412","afaa88cc-a7a2-42d3-bd0f-4476e6922412.jpg","LD","USA","BA","NHL","NSH",95.1,191,1,80,77,74,80,78,72,82,74,82,85,81,82,80,85,74,77,82,49,83,82,79,81,81,72,82,"DEF",172
"38efcfac-e5d1-4dad-9308-0b933b002869","38efcfac-e5d1-4dad-9308-0b933b002869.jpg","RD","USA","BA","NHL","NYI",81.5,180,0.6,76,80,77,78,78,72,80,74,80,81,80,76,73,84,72,77,74,52,72,76,73,72,77,59,76,"DEF",1550
"5b898e7d-d0ee-4aba-8956-2d171549e21d","5b898e7d-d0ee-4aba-8956-2d171549e21d.jpg","RD","USA","BA","NHL","NYI",96.5,196,0.6,76,68,68,73,72,68,78,68,79,78,74,82,75,79,67,69,77,47,79,79,77,77,75,75,82,"DEF",1418
"9869ecbf-05b1-4844-9616-f289e3c42460","9869ecbf-05b1-4844-9616-f289e3c42460.jpg","RD","USA","BA","NHL","NYR",81.5,180,5,84,90,82,92,81,82,85,83,84,87,90,81,84,88,81,91,85,51,84,87,78,79,81,62,80,"DEF",15
"afe1178c-dade-4553-8ecc-32eb01388074","afe1178c-dade-4553-8ecc-32eb01388074.jpg","RD","USA","BA","NHL","NYR",92.4,191,0.5,75,72,67,72,72,71,79,68,79,80,76,79,73,80,67,72,76,52,79,78,80,80,77,67,80,"DEF",1630
"c48041a3-132b-48d6-9dcb-e2fb66d87be6","c48041a3-132b-48d6-9dcb-e2fb66d87be6.jpg","LD","USA","BA","NHL","OTT",92.4,188,4,83,81,77,83,83,76,85,76,84,89,85,83,82,90,81,83,85,56,84,84,81,81,81,62,84,"DEF",678
"e6a1f2c8-aa83-4225-8c7c-0ef1db46c991","e6a1f2c8-aa83-4225-8c7c-0ef1db46c991.jpg","RD","USA","BA","NHL","OTT",88.8,183,0.8,78,74,73,77,76,71,82,72,81,81,76,82,81,83,84,77,83,49,82,82,79,78,74,62,81,"DEF",1168
"6be63752-6fde-4b7d-8009-af97537de29d","6be63752-6fde-4b7d-8009-af97537de29d.jpg","LD","USA","BA","NHL","OTT",100.1,196,0.5,75,69,69,70,70,65,81,66,80,78,77,80,76,79,70,70,77,50,79,79,79,79,80,67,80,"DEF",1583
"f03fb3c3-f545-4846-b8ac-6b264eb810e3","f03fb3c3-f545-4846-b8ac-6b264eb810e3.jpg","LD","USA","BA","NHL","PHI",87.9,183,0.7,77,80,75,80,80,73,80,73,80,83,80,76,74,83,80,80,78,47,77,78,72,72,77,57,76,"DEF",250
"a1645fbf-acc1-4446-8524-0e48424229ac","a1645fbf-acc1-4446-8524-0e48424229ac.jpg","LD","USA","BA","NHL","PHI",97.8,188,0.5,75,72,66,69,69,63,80,63,80,79,78,82,73,80,70,69,74,50,80,77,82,80,80,72,82,"DEF",420
"77c00091-97d0-4472-8e47-96a87db4b78e","77c00091-97d0-4472-8e47-96a87db4b78e.jpg","LD","USA","BA","NHL","PIT",99.7,185,0.5,75,71,67,71,71,66,81,67,81,82,79,79,72,82,78,69,75,49,77,80,78,78,74,67,79,"DEF",1380
"467f17ff-2b9b-473c-b015-702d731c92c5","467f17ff-2b9b-473c-b015-702d731c92c5.jpg","RD","USA","BA","NHL","PIT",88.3,180,0.7,77,77,69,76,75,69,81,70,80,81,77,77,81,82,72,74,77,47,81,80,81,82,77,62,77,"DEF",329
"0b8b4152-f59a-4a57-a8d7-15664092a994","0b8b4152-f59a-4a57-a8d7-15664092a994.jpg","LD","USA","BA","NHL","PHI",89.2,191,0.7,77,70,69,73,72,69,81,69,81,81,77,82,75,79,62,71,79,50,89,81,83,83,83,72,82,"DEF",1177
"39145315-b81e-4279-90b6-658bf8a4894c","39145315-b81e-4279-90b6-658bf8a4894c.jpg","LD","USA","BA","NHL","SJS",92.9,183,0.6,76,79,71,76,74,69,79,70,79,83,78,77,75,85,81,71,77,46,79,79,76,76,76,57,77,"DEF",1170
"22b6cc92-02a3-47f2-ae47-0df4bdb7efc3","22b6cc92-02a3-47f2-ae47-0df4bdb7efc3.jpg","LD","USA","BA","NHL","SEA",87.9,183,0.6,76,72,69,72,72,67,79,68,79,82,78,79,75,83,62,73,80,47,82,81,80,80,77,67,80,"DEF",1368
"eda931a0-30af-4e1b-8470-759cadf64bd7","eda931a0-30af-4e1b-8470-759cadf64bd7.jpg","LD","USA","BA","NHL","STL",95.1,188,1,80,80,78,84,83,76,82,77,81,84,81,81,80,84,83,80,78,48,79,80,76,76,71,62,81,"DEF",248
"8db323b6-ead1-40f3-9656-c20bfc3e3181","8db323b6-ead1-40f3-9656-c20bfc3e3181.jpg","RD","USA","BA","NHL","STL",96.9,183,0.9,79,78,79,82,82,75,83,75,82,85,81,79,79,84,77,80,75,47,78,81,76,77,81,67,79,"DEF",850
